55.208254,-2.078414,73,70,25,25
54.509167,-1.429167,74,63,23,28
53.969009,-2.627691,78,69,20,25
53.497848,-2.318776,77,63,20,20
53.232634,-2.610316,84,64,24,29
53.217882,-0.199970,79,69,26,28
53.810818,-1.762610,76,68,25,29
53.469697,-1.325968,82,58,20,28
50.966212,-2.581561,83,65,23,31
52.740123,-1.140593,83,65,21,29
52.586484,-2.703750,82,71,24,25
52.469746,-1.921856,84,69,25,25
52.475074,-1.829833,86,70,25,24
52.446508,0.097133,71,70,25,30
52.062739,-0.529209,78,70,24,32
51.765908,0.667367,79,68,24,30
51.511214,-0.119824,83,72,27,38
51.531226,0.044769,79,62,26,33
51.511214,-0.119824,77,66,26,24
51.897127,-0.714956,87,68,22,32
50.692718,-1.316710,86,71,22,29
51.261352,0.655410,74,65,22,27
51.194274,-0.605981,78,73,26,31
51.583223,-2.251131,85,68,24,30
51.058701,-2.949907,85,70,27,32
